initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,68.9,96.7,124.2,150.75,175.88,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79
2016-01-01T08:56:00+00:00,96.7,124.2,150.75,175.88,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66
2016-01-01T09:11:00+00:00,124.2,150.75,175.88,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72
2016-01-01T09:26:00+00:00,150.75,175.88,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08
2016-01-01T09:41:00+00:00,175.88,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86
2016-01-01T09:56:00+00:00,199.24,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23
2016-01-01T10:11:00+00:00,220.54,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37
2016-01-01T10:26:00+00:00,239.56,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53
2016-01-01T10:41:00+00:00,256.12,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0
2016-01-01T10:56:00+00:00,270.07,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15
2016-01-01T11:11:00+00:00,281.3,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49
2016-01-01T11:26:00+00:00,289.69,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77
2016-01-01T11:41:00+00:00,295.2,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21
2016-01-01T11:56:00+00:00,297.77,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33
2016-01-01T12:11:00+00:00,297.39,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53
2016-01-01T12:26:00+00:00,294.05,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0
2016-01-01T12:41:00+00:00,287.79,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0
2016-01-01T12:56:00+00:00,278.66,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0
2016-01-01T13:11:00+00:00,266.72,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0
2016-01-01T13:26:00+00:00,252.08,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0
2016-01-01T13:41:00+00:00,234.86,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T13:56:00+00:00,215.23,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T14:11:00+00:00,193.37,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T14:26:00+00:00,169.53,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T14:41:00+00:00,144.0,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T14:56:00+00:00,117.15,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T15:11:00+00:00,89.49,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01T15:26:00+00:00,61.77,35.21,12.33,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02T08:41:00+00:00,69.15,97.04,124.64,151.29,176.52,199.97,221.37,240.5,257.17,271.22,282.55,291.05,296.66,299.33,299.04,295.79,289.62
