initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,54.55,72.57,90.6,108.62,116.86,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18
2016-01-01T08:56:00+00:00,72.57,90.6,108.62,116.86,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05
2016-01-01T09:11:00+00:00,90.6,108.62,116.86,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93
2016-01-01T09:26:00+00:00,108.62,116.86,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8
2016-01-01T09:41:00+00:00,116.86,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41
2016-01-01T09:56:00+00:00,121.55,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18
2016-01-01T10:11:00+00:00,126.24,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96
2016-01-01T10:26:00+00:00,130.93,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74
2016-01-01T10:41:00+00:00,129.95,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91
2016-01-01T10:56:00+00:00,126.91,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5
2016-01-01T11:11:00+00:00,123.87,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08
2016-01-01T11:26:00+00:00,120.84,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67
2016-01-01T11:41:00+00:00,113.69,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78
2016-01-01T11:56:00+00:00,105.05,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16
2016-01-01T12:11:00+00:00,96.41,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55
2016-01-01T12:26:00+00:00,87.77,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55,0.94
2016-01-01T12:41:00+00:00,83.18,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55,0.94,-0.02
2016-01-01T12:56:00+00:00,80.05,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55,0.94,-0.02,-0.01
2016-01-01T13:11:00+00:00,76.93,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55,0.94,-0.02,-0.01,-0.01
2016-01-01T13:26:00+00:00,73.8,68.41,62.18,55.96,49.74,41.91,33.5,25.08,16.67,11.78,8.16,4.55,0.94,-0.02,-0.01,-0.01,-0.0
