initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,16.99,24.12,31.25,38.38,47.22,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89
2016-01-01T08:56:00+00:00,24.12,31.25,38.38,47.22,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37
2016-01-01T09:11:00+00:00,31.25,38.38,47.22,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86
2016-01-01T09:26:00+00:00,38.38,47.22,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34
2016-01-01T09:41:00+00:00,47.22,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13
2016-01-01T09:56:00+00:00,56.48,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66
2016-01-01T10:11:00+00:00,65.74,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19
2016-01-01T10:26:00+00:00,75.01,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73
2016-01-01T10:41:00+00:00,92.68,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48
2016-01-01T10:56:00+00:00,113.42,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32
2016-01-01T11:11:00+00:00,134.16,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16
2016-01-01T11:26:00+00:00,154.9,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0
2016-01-01T11:41:00+00:00,162.53,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74
2016-01-01T11:56:00+00:00,165.4,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21
2016-01-01T12:11:00+00:00,168.26,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21,0.67
2016-01-01T12:26:00+00:00,171.13,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21,0.67,0.14
2016-01-01T12:41:00+00:00,156.89,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21,0.67,0.14,0.0
2016-01-01T12:56:00+00:00,138.37,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21,0.67,0.14,0.0,0.0
2016-01-01T13:11:00+00:00,119.86,101.34,82.13,62.66,43.19,23.73,15.48,11.32,7.16,3.0,1.74,1.21,0.67,0.14,0.0,0.0,0.0
