initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,36.8,39.86,35.89,35.16,47.16,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25
2016-01-01T08:56:00+00:00,39.86,35.89,35.16,47.16,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83
2016-01-01T09:11:00+00:00,35.89,35.16,47.16,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16
2016-01-01T09:26:00+00:00,35.16,47.16,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07
2016-01-01T09:41:00+00:00,47.16,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99
2016-01-01T09:56:00+00:00,49.89,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96
2016-01-01T10:11:00+00:00,58.85,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44
2016-01-01T10:26:00+00:00,57.15,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93
2016-01-01T10:41:00+00:00,56.65,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81
2016-01-01T10:56:00+00:00,65.64,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44
2016-01-01T11:11:00+00:00,59.9,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03
2016-01-01T11:26:00+00:00,65.95,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65
2016-01-01T11:41:00+00:00,57.96,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,
2016-01-01T11:56:00+00:00,67.17,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,
2016-01-01T12:11:00+00:00,47.23,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,
2016-01-01T12:26:00+00:00,52.8,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,
2016-01-01T12:41:00+00:00,71.25,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,,
2016-01-01T12:56:00+00:00,54.83,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,,,
2016-01-01T13:11:00+00:00,56.16,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,,,,
2016-01-01T13:26:00+00:00,63.07,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,,,,,
2016-01-01T13:41:00+00:00,58.99,70.96,50.44,50.93,39.81,30.44,37.03,29.65,,,,,,,,,
