initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,22.44,33.91,39.31,42.5,57.94,87.97,74.24,63.51,116.97,110.68,75.75,103.37,132.27,171.18,203.73,207.63,183.23
2016-01-01T08:56:00+00:00,32.84,38.9,42.05,43.32,47.33,64.06,57.9,65.35,98.05,107.51,97.26,97.28,125.87,134.95,159.48,186.37,164.65
2016-01-01T09:11:00+00:00,29.72,24.27,49.7,68.1,53.19,56.84,87.84,100.27,82.58,85.24,78.56,83.36,116.87,131.9,148.21,156.44,103.91
2016-01-01T09:26:00+00:00,26.83,37.03,47.19,55.6,81.31,103.77,96.55,91.68,82.5,72.26,97.38,114.53,130.25,143.01,110.16,84.31,81.99
2016-01-01T09:41:00+00:00,39.8,40.2,32.55,40.75,61.21,85.88,104.8,100.0,87.44,87.62,80.09,69.99,61.0,48.43,45.11,49.93,45.54
2016-01-01T09:56:00+00:00,47.3,60.33,75.72,77.34,91.11,97.02,107.36,119.82,107.81,92.33,80.01,77.73,68.25,52.18,41.12,47.46,66.03
2016-01-01T10:11:00+00:00,64.21,85.09,92.29,101.44,105.82,103.18,101.52,97.16,92.41,93.69,82.07,76.85,88.59,99.13,101.36,97.59,77.3
2016-01-01T10:26:00+00:00,80.57,76.35,75.69,75.42,68.6,63.47,64.82,63.72,61.94,73.61,91.74,86.3,96.93,110.14,91.5,81.48,99.03
2016-01-01T10:41:00+00:00,64.57,48.05,46.44,52.82,61.15,78.81,103.24,107.59,103.02,106.4,110.14,105.22,97.7,119.35,126.28,96.98,61.25
2016-01-01T10:56:00+00:00,44.69,36.14,42.0,50.56,68.69,73.08,62.41,67.33,83.91,93.09,99.47,130.76,144.88,117.62,82.71,54.61,40.61
2016-01-01T11:11:00+00:00,39.72,43.89,46.09,56.08,67.18,65.06,54.59,52.17,70.55,96.74,134.49,138.18,106.91,83.35,57.16,43.81,39.1
2016-01-01T11:26:00+00:00,38.31,66.61,98.34,98.71,81.01,62.63,78.85,90.19,104.57,111.44,105.17,92.45,66.7,44.39,37.17,31.51,18.31
2016-01-01T11:41:00+00:00,60.07,98.12,109.08,87.51,82.46,93.22,95.05,122.46,129.11,119.48,98.63,61.38,44.18,47.88,39.94,20.26,
2016-01-01T11:56:00+00:00,106.49,117.34,96.34,85.94,104.87,143.11,152.44,122.49,94.29,91.3,67.38,39.0,43.97,33.74,22.77,,
2016-01-01T12:11:00+00:00,128.18,125.51,101.84,86.63,115.61,134.77,102.86,89.38,81.58,60.38,55.74,43.71,30.48,23.63,,,
2016-01-01T12:26:00+00:00,126.27,108.65,86.65,99.88,116.77,88.7,93.55,87.18,63.79,77.71,54.91,38.23,27.55,,,,
2016-01-01T12:41:00+00:00,127.88,103.76,78.42,92.93,73.47,71.9,81.46,64.81,62.86,40.53,33.65,36.3,,,,,
2016-01-01T12:56:00+00:00,110.12,87.85,82.16,66.48,68.03,76.39,66.78,59.33,37.4,30.2,34.48,,,,,,
2016-01-01T13:11:00+00:00,82.62,87.61,76.27,70.86,84.89,73.06,53.65,30.33,32.19,41.69,,,,,,,
2016-01-01T13:26:00+00:00,96.04,78.52,69.47,74.83,63.14,54.83,32.37,26.21,37.47,,,,,,,,
2016-01-01T13:41:00+00:00,90.09,71.53,67.14,59.48,40.2,37.68,38.18,31.57,,,,,,,,,
2016-01-01T13:56:00+00:00,89.6,90.94,50.77,22.72,30.83,44.7,36.84,,,,,,,,,,
2016-01-01T14:11:00+00:00,90.25,48.57,18.42,30.22,43.32,31.24,,,,,,,,,,,
2016-01-01T14:26:00+00:00,51.49,23.76,24.46,28.12,22.4,,,,,,,,,,,,
2016-01-01T14:41:00+00:00,27.8,23.21,26.97,18.51,,,,,,,,,,,,,
2016-01-01T14:56:00+00:00,24.38,32.57,18.15,,,,,,,,,,,,,,
2016-01-01T15:11:00+00:00,21.55,12.16,,,,,,,,,,,,,,,
2016-01-01T15:26:00+00:00,16.39,,,,,,,,,,,,,,,,
2016-01-02T08:41:00+00:00,50.31,81.12,104.76,120.95,149.17,141.81,154.99,166.12,205.05,266.81,282.32,282.11,252.36,258.74,267.84,234.37,183.8
2016-01-02T08:56:00+00:00,83.06,103.85,107.7,139.66,186.45,218.92,207.56,222.65,230.32,262.59,285.6,258.79,241.22,251.69,246.06,180.57,82.12
2016-01-02T09:11:00+00:00,105.08,85.48,128.47,201.77,217.48,225.95,253.07,254.21,256.76,279.55,270.76,222.19,183.24,153.3,77.65,40.87,48.82
2016-01-02T09:26:00+00:00,66.22,113.45,201.83,214.61,227.27,223.88,176.19,160.92,235.49,286.69,215.06,187.19,177.8,79.11,70.07,166.57,229.63
2016-01-02T09:41:00+00:00,51.64,121.82,204.95,233.91,233.31,171.17,167.86,218.03,229.43,272.96,259.34,168.59,83.0,51.22,159.12,264.5,146.68
2016-01-02T09:56:00+00:00,98.5,179.11,233.48,232.6,184.29,203.46,237.46,206.91,227.43,265.88,174.74,58.0,44.43,158.18,217.63,93.21,45.25
2016-01-02T10:11:00+00:00,176.63,227.37,213.04,189.77,222.2,234.52,233.1,265.39,256.77,237.82,183.4,89.41,87.4,194.66,203.71,96.36,98.9
2016-01-02T10:26:00+00:00,160.23,115.5,199.0,256.42,253.65,245.73,230.8,183.37,157.96,187.31,173.61,98.12,105.15,137.75,81.7,76.38,93.08
2016-01-02T10:41:00+00:00,65.32,101.09,220.6,228.73,215.69,192.92,152.02,214.63,241.66,191.38,105.72,94.45,146.49,111.46,102.48,101.52,58.05
2016-01-02T10:56:00+00:00,98.92,147.93,198.64,217.57,121.58,109.66,148.97,116.47,51.06,73.57,122.72,94.84,77.01,93.97,54.51,37.07,33.66
2016-01-02T11:11:00+00:00,122.21,175.93,231.98,172.94,151.13,139.9,93.39,47.24,42.56,90.01,135.93,101.25,87.77,78.02,38.82,25.17,19.49
2016-01-02T11:26:00+00:00,142.96,197.23,160.45,118.24,93.99,105.18,90.72,84.96,100.5,77.51,47.41,43.09,50.1,35.39,23.22,22.92,25.0
2016-01-02T11:41:00+00:00,136.8,113.38,121.22,65.09,96.74,119.31,81.11,65.89,73.55,58.75,49.24,54.52,34.86,24.47,24.85,21.94,
2016-01-02T11:56:00+00:00,98.16,93.7,57.13,114.92,135.83,65.91,45.04,57.05,47.92,40.52,36.13,34.66,46.5,34.31,14.1,,
2016-01-02T12:11:00+00:00,92.55,48.39,55.23,66.3,60.53,73.9,64.9,37.13,32.44,33.29,36.01,43.01,27.73,13.95,,,
2016-01-02T12:26:00+00:00,49.55,73.78,81.61,80.35,117.27,87.87,32.92,31.02,33.99,28.02,18.09,13.01,10.34,,,,
2016-01-02T12:41:00+00:00,43.42,46.5,98.86,129.92,90.5,65.02,44.23,35.32,42.64,30.61,16.51,9.07,,,,,
2016-01-02T12:56:00+00:00,49.02,64.75,96.12,132.49,114.42,52.74,37.01,58.39,39.41,23.73,21.15,,,,,,
2016-01-02T13:11:00+00:00,61.06,76.58,103.13,91.62,62.9,45.58,30.63,42.05,41.04,25.72,,,,,,,
2016-01-02T13:26:00+00:00,96.47,114.79,78.38,55.43,41.01,23.3,41.85,35.71,17.47,,,,,,,,
2016-01-02T13:41:00+00:00,116.58,105.3,60.77,26.84,27.47,45.17,30.3,16.37,,,,,,,,,
2016-01-02T13:56:00+00:00,91.03,51.5,25.73,24.38,23.21,30.23,39.38,,,,,,,,,,
2016-01-02T14:11:00+00:00,50.83,27.51,28.41,34.81,28.73,24.76,,,,,,,,,,,
2016-01-02T14:26:00+00:00,28.61,38.07,46.44,51.21,41.06,,,,,,,,,,,,
2016-01-02T14:41:00+00:00,32.82,56.43,61.13,34.69,,,,,,,,,,,,,
2016-01-02T14:56:00+00:00,66.33,70.14,37.94,,,,,,,,,,,,,,
2016-01-02T15:11:00+00:00,70.34,41.31,,,,,,,,,,,,,,,
2016-01-02T15:26:00+00:00,40.42,,,,,,,,,,,,,,,,
2016-01-03T08:41:00+00:00,29.79,18.67,14.03,37.89,91.13,137.2,137.76,83.71,95.96,117.11,99.13,75.33,26.84,27.09,27.07,26.79,26.24
2016-01-03T08:56:00+00:00,18.67,30.99,46.86,37.4,31.93,57.11,76.22,51.81,68.34,59.01,44.64,71.47,53.29,27.07,26.79,26.24,25.43
2016-01-03T09:11:00+00:00,27.6,40.04,27.0,59.69,109.8,79.85,49.99,50.59,37.37,33.58,33.32,33.63,29.19,136.34,131.5,25.43,24.37
2016-01-03T09:26:00+00:00,44.85,31.26,46.3,70.51,47.98,28.79,27.54,25.55,26.33,29.57,51.67,70.03,109.54,97.87,49.45,37.09,23.07
2016-01-03T09:41:00+00:00,33.48,54.82,63.43,30.54,28.86,30.44,33.02,35.64,35.67,51.15,89.89,89.92,67.85,59.11,57.94,45.7,21.53
2016-01-03T09:56:00+00:00,60.23,61.32,31.58,49.11,49.99,44.1,53.3,88.34,103.6,76.56,55.26,45.68,40.33,42.32,41.99,42.15,41.38
2016-01-03T10:11:00+00:00,61.32,35.87,70.28,62.13,38.77,47.55,94.39,121.25,94.54,69.67,44.01,41.71,39.39,33.79,33.09,36.22,39.37
2016-01-03T10:26:00+00:00,29.28,31.32,39.34,69.05,83.97,97.58,88.53,61.09,48.03,45.41,43.51,32.23,30.9,40.26,38.63,32.39,31.25
2016-01-03T10:41:00+00:00,46.98,54.09,58.22,95.8,103.98,57.94,48.49,60.49,49.37,35.99,37.75,40.58,45.09,46.71,36.76,29.49,26.0
2016-01-03T10:56:00+00:00,49.48,52.83,96.97,95.03,47.57,51.28,58.18,43.65,32.92,38.5,39.88,39.84,38.8,29.11,27.0,25.86,16.42
2016-01-03T11:11:00+00:00,70.85,87.49,58.91,43.55,49.61,48.47,41.59,39.19,36.8,37.5,34.16,24.33,22.26,26.75,25.99,16.27,8.44
2016-01-03T11:26:00+00:00,98.19,67.54,50.64,64.27,61.37,47.7,34.03,35.46,31.44,26.1,35.6,33.62,35.5,33.54,18.26,9.51,5.93
