initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,22.44,31.5,40.46,49.11,57.3,64.9,71.84,78.04,83.43,87.98,91.63,94.37,96.16,97.0,96.88,95.79,93.75
2016-01-01T08:56:00+00:00,32.84,42.18,51.19,59.73,67.66,74.89,81.35,86.98,91.71,95.53,98.38,100.25,101.12,100.99,99.86,97.73,94.63
2016-01-01T09:11:00+00:00,29.72,36.08,42.09,47.68,52.78,57.33,61.29,64.63,67.31,69.32,70.64,71.26,71.17,70.37,68.87,66.68,63.83
2016-01-01T09:26:00+00:00,26.83,31.3,35.46,39.25,42.64,45.58,48.07,50.06,51.56,52.54,53.0,52.93,52.34,51.22,49.6,47.47,44.86
2016-01-01T09:41:00+00:00,39.8,45.08,49.9,54.2,57.95,61.11,63.65,65.55,66.79,67.37,67.29,66.53,65.12,63.05,60.35,57.04,53.14
2016-01-01T09:56:00+00:00,47.3,52.36,56.87,60.81,64.12,66.78,68.78,70.08,70.69,70.6,69.81,68.32,66.16,63.32,59.85,55.76,51.1
2016-01-01T10:11:00+00:00,64.21,69.75,74.57,78.64,81.9,84.35,85.95,86.7,86.59,85.62,83.79,81.13,77.66,73.4,68.38,62.67,56.3
2016-01-01T10:26:00+00:00,80.57,86.15,90.84,94.61,97.44,99.29,100.15,100.02,98.9,96.8,93.72,89.71,84.78,78.99,72.39,65.04,57.02
2016-01-01T10:41:00+00:00,64.57,68.09,70.92,73.03,74.42,75.07,74.97,74.13,72.56,70.25,67.24,63.55,59.21,54.26,48.75,42.74,36.3
2016-01-01T10:56:00+00:00,44.69,46.55,47.94,48.85,49.27,49.21,48.66,47.62,46.11,44.14,41.71,38.86,35.62,32.0,28.05,23.83,19.39
2016-01-01T11:11:00+00:00,39.72,40.91,41.69,42.05,41.99,41.52,40.64,39.35,37.66,35.6,33.17,30.39,27.31,23.94,20.33,16.54,12.64
2016-01-01T11:26:00+00:00,38.31,39.04,39.38,39.33,38.89,38.06,36.85,35.27,33.34,31.06,28.46,25.57,22.42,19.04,15.49,11.84,8.17
2016-01-01T11:41:00+00:00,60.07,60.59,60.52,59.84,58.56,56.7,54.27,51.3,47.79,43.8,39.35,34.5,29.3,23.84,18.21,12.57,
2016-01-01T11:56:00+00:00,106.49,106.35,105.16,102.92,99.66,95.39,90.15,83.99,76.97,69.16,60.63,51.5,41.9,32.01,22.09,,
2016-01-01T12:11:00+00:00,128.18,126.75,124.05,120.11,114.96,108.65,101.23,92.77,83.35,73.07,62.07,50.5,38.58,26.62,,,
2016-01-01T12:26:00+00:00,126.27,123.58,119.66,114.53,108.25,100.85,92.42,83.04,72.8,61.84,50.31,38.43,26.53,,,,
2016-01-01T12:41:00+00:00,127.88,123.82,118.51,112.01,104.36,95.64,85.93,75.33,63.99,52.06,39.77,27.45,,,,,
2016-01-01T12:56:00+00:00,110.12,105.41,99.62,92.82,85.06,76.42,67.0,56.91,46.3,35.37,24.41,,,,,,
2016-01-01T13:11:00+00:00,82.62,78.09,72.75,66.67,59.9,52.52,44.61,36.29,27.72,19.13,,,,,,,
2016-01-01T13:26:00+00:00,96.04,89.48,82.0,73.67,64.59,54.86,44.63,34.1,23.53,,,,,,,,
2016-01-01T13:41:00+00:00,90.09,82.56,74.17,65.03,55.23,44.94,34.33,23.69,,,,,,,,,
2016-01-01T13:56:00+00:00,89.6,80.5,70.57,59.94,48.77,37.25,25.71,,,,,,,,,,
2016-01-01T14:11:00+00:00,90.25,79.12,67.21,54.68,41.77,28.83,,,,,,,,,,,
2016-01-01T14:26:00+00:00,51.49,43.73,35.58,27.18,18.76,,,,,,,,,,,,
2016-01-01T14:41:00+00:00,27.8,22.62,17.28,11.93,,,,,,,,,,,,,
2016-01-01T14:56:00+00:00,24.38,18.62,12.85,,,,,,,,,,,,,,
2016-01-01T15:11:00+00:00,21.55,14.87,,,,,,,,,,,,,,,
2016-01-01T15:26:00+00:00,16.39,,,,,,,,,,,,,,,,
2016-01-02T08:41:00+00:00,50.31,70.6,90.68,110.06,128.42,145.48,161.05,174.97,187.09,197.32,205.56,211.74,215.82,217.76,217.55,215.19,210.7
2016-01-02T08:56:00+00:00,83.06,106.69,129.5,151.09,171.17,189.49,205.86,220.13,232.16,241.85,249.13,253.93,256.21,255.97,253.19,247.9,240.15
2016-01-02T09:11:00+00:00,105.08,127.54,148.81,168.59,186.63,202.75,216.81,228.66,238.2,245.37,250.1,252.35,252.1,249.37,244.16,236.52,226.52
2016-01-02T09:26:00+00:00,66.22,77.26,87.53,96.89,105.27,112.56,118.71,123.67,127.39,129.84,131.01,130.89,129.47,126.76,122.8,117.6,111.22
2016-01-02T09:41:00+00:00,51.64,58.5,64.76,70.36,75.24,79.35,82.66,85.15,86.79,87.57,87.48,86.53,84.73,82.08,78.61,74.34,69.32
2016-01-02T09:56:00+00:00,98.5,109.04,118.46,126.67,133.6,139.18,143.36,146.13,147.44,147.3,145.7,142.66,138.2,132.35,125.17,116.72,107.07
2016-01-02T10:11:00+00:00,176.63,191.89,205.19,216.4,225.44,232.22,236.69,238.82,238.59,236.0,231.07,223.85,214.38,202.75,189.06,173.43,156.02
2016-01-02T10:26:00+00:00,160.23,171.34,180.7,188.25,193.91,197.65,199.42,199.23,197.07,192.95,186.92,179.01,169.3,157.87,144.82,130.28,114.41
2016-01-02T10:41:00+00:00,65.32,68.89,71.77,73.93,75.35,76.03,75.96,75.13,73.56,71.26,68.25,64.55,60.19,55.21,49.67,43.62,37.13
2016-01-02T10:56:00+00:00,98.92,103.05,106.15,108.19,109.16,109.06,107.87,105.62,102.32,97.99,92.68,86.42,79.27,71.32,62.63,53.31,43.51
2016-01-02T11:11:00+00:00,122.21,125.89,128.31,129.46,129.34,127.94,125.26,121.35,116.21,109.91,102.49,94.02,84.58,74.27,63.23,51.61,39.62
2016-01-02T11:26:00+00:00,142.96,145.72,147.03,146.88,145.29,142.26,137.81,131.98,124.82,116.39,106.77,96.05,84.35,71.81,58.61,44.99,31.32
2016-01-02T11:41:00+00:00,136.8,138.03,137.89,136.4,133.55,129.37,123.9,117.18,109.27,100.23,90.17,79.19,67.41,55.02,42.24,29.4,
2016-01-02T11:56:00+00:00,98.16,98.06,97.0,94.97,92.0,88.11,83.33,77.7,71.28,64.12,56.31,47.94,39.13,30.04,20.91,,
2016-01-02T12:11:00+00:00,92.55,91.54,89.63,86.83,83.15,78.64,73.33,67.27,60.52,53.14,45.24,36.93,28.35,19.73,,,
2016-01-02T12:26:00+00:00,49.55,48.52,47.0,45.01,42.57,39.7,36.42,32.76,28.77,24.49,19.99,15.35,10.68,,,,
2016-01-02T12:41:00+00:00,43.42,42.06,40.28,38.1,35.52,32.59,29.32,25.74,21.92,17.89,13.73,9.56,,,,,
2016-01-02T12:56:00+00:00,49.02,46.94,44.4,41.4,37.98,34.16,30.0,25.54,20.85,16.0,11.14,,,,,,
2016-01-02T13:11:00+00:00,61.06,57.75,53.85,49.4,44.44,39.02,33.22,27.11,20.82,14.49,,,,,,,
2016-01-02T13:26:00+00:00,96.47,89.96,82.52,74.24,65.19,55.5,45.3,34.78,24.21,,,,,,,,
2016-01-02T13:41:00+00:00,116.58,106.95,96.21,84.49,71.93,58.7,45.07,31.37,,,,,,,,,
2016-01-02T13:56:00+00:00,91.03,81.89,71.92,61.22,49.97,38.36,26.7,,,,,,,,,,
