initial_timeslot,P0DT0H0M0S,P0DT0H15M0S,P0DT0H30M0S,P0DT0H45M0S,P0DT1H0M0S,P0DT1H15M0S,P0DT1H30M0S,P0DT1H45M0S,P0DT2H0M0S,P0DT2H15M0S,P0DT2H30M0S,P0DT2H45M0S,P0DT3H0M0S,P0DT3H15M0S,P0DT3H30M0S,P0DT3H45M0S,P0DT4H0M0S
2016-01-01T08:41:00+00:00,3.25,3.36,3.47,3.57,3.69,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13
2016-01-01T08:56:00+00:00,3.36,3.47,3.57,3.69,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15
2016-01-01T09:11:00+00:00,3.47,3.57,3.69,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18
2016-01-01T09:26:00+00:00,3.57,3.69,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2
2016-01-01T09:41:00+00:00,3.69,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25
2016-01-01T09:56:00+00:00,3.81,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25,5.32
2016-01-01T10:11:00+00:00,3.93,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25,5.32,5.39
2016-01-01T10:26:00+00:00,4.05,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25,5.32,5.39,5.46
2016-01-01T10:41:00+00:00,4.18,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25,5.32,5.39,5.46,5.5
2016-01-01T10:56:00+00:00,4.31,4.45,4.59,4.71,4.84,4.96,5.09,5.13,5.15,5.18,5.2,5.25,5.32,5.39,5.46,5.5,5.52
